gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,16,34,0.5000000000000001,0.41574374143609194,0.06930693069306926,1.0,0.1428571428571429,86,57.64705882352941,2,1.7647058823529411,7,6.294117647058823,5.323529411764706,6,0.0,7.345720052719116,"stack ( XGB ( n_estimators = 50 , max_depth = 200 ) )"
11,0,50,0.0702970297029703,0.029186936580165683,0.02970297029702973,0.17821782178217827,0.1026785714285714,107,116.94,17,7.34,17,10.94,23.06,52,0.0001881122589111328,52.12815809249878,"stack ( KNN ( n_neighbors = 10 ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.1 ) , XGB ( max_depth = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.4 ) , GB ( n_estimators = 200 , learning_rate = 10 ) , SVM ( C = 10 , kernel = linear ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_leaf = 0.4 ) , LR ( penalty = l2 ) , SVM ( kernel = rbf ) ; final_estimator = DT )"
12,0,50,0.0916831683168317,0.13542021070470658,0.02970297029702973,1.0,0.1026785714285714,107,130.54,17,7.68,17,11.3,24.58,52,0.0001780986785888672,42.99370265007019,"stack ( KNN ( n_neighbors = 10 ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.1 ) , XGB ( max_depth = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.4 ) , GB ( n_estimators = 200 , learning_rate = 10 ) , SVM ( C = 10 , kernel = linear ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_leaf = 0.4 ) , LR ( penalty = l2 ) , SVM ( kernel = rbf ) ; final_estimator = DT )"
13,0,50,0.08613861386138615,0.07351443477562997,0.02970297029702973,0.504950495049505,0.1026785714285714,107,129.54,17,7.38,17,11.16,23.66,52,0.0001533031463623047,57.21459627151489,"stack ( KNN ( n_neighbors = 10 ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.1 ) , XGB ( max_depth = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.4 ) , GB ( n_estimators = 200 , learning_rate = 10 ) , SVM ( C = 10 , kernel = linear ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_leaf = 0.4 ) , LR ( penalty = l2 ) , SVM ( kernel = rbf ) ; final_estimator = DT )"
14,0,50,0.06831683168316832,0.03835914975804061,0.02970297029702973,0.2376237623762376,0.1026785714285714,107,130.68,17,8.26,17,11.62,25.68,52,0.0002601146697998047,56.949366092681885,"stack ( KNN ( n_neighbors = 10 ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.1 ) , XGB ( max_depth = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.4 ) , GB ( n_estimators = 200 , learning_rate = 10 ) , SVM ( C = 10 , kernel = linear ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_leaf = 0.4 ) , LR ( penalty = l2 ) , SVM ( kernel = rbf ) ; final_estimator = DT )"
15,0,50,0.07742574257425743,0.04570312473162299,0.02970297029702973,0.20792079207920788,0.1026785714285714,107,131.94,17,7.48,17,11.08,23.46,52,0.0002505779266357422,38.52674674987793,"stack ( KNN ( n_neighbors = 10 ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.1 ) , XGB ( max_depth = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.4 ) , GB ( n_estimators = 200 , learning_rate = 10 ) , SVM ( C = 10 , kernel = linear ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_leaf = 0.4 ) , LR ( penalty = l2 ) , SVM ( kernel = rbf ) ; final_estimator = DT )"
16,0,50,0.08217821782178221,0.1359179129146465,0.02970297029702973,1.0,0.1026785714285714,107,125.02,17,9.12,17,12.26,28.54,52,0.00017595291137695312,50.92753028869629,"stack ( KNN ( n_neighbors = 10 ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.1 ) , XGB ( max_depth = 50 ) , DT ( max_depth = 3 , min_samples_split = 0.4 ) , GB ( n_estimators = 200 , learning_rate = 10 ) , SVM ( C = 10 , kernel = linear ) , KNN ( n_neighbors = 50 ) , DT ( max_depth = 3 , min_samples_leaf = 0.4 ) , LR ( penalty = l2 ) , SVM ( kernel = rbf ) ; final_estimator = DT )"
17,0,50,0.08871287128712872,0.1367478357822109,0.01980198019801982,1.0,0.09375,109,120.88,13,9.32,16,12.32,29.18,41,0.00015735626220703125,62.72270441055298,"stack ( KNN ( n_neighbors = 10 ) , KNN ( n_neighbors = 50 ) , RF ( n_estimators = 5 ) , XGB ( max_depth = 10 ) , XGB ( max_depth = 50 ) , XGB ( n_estimators = 3 ) , SVM ( C = 0.5 , kernel = poly ) , NB ( var_smoothing = 1e-6 ) , NB ( var_smoothing = 1e-6 ) , XGB ( n_estimators = 100 , max_depth = 50 ) ; final_estimator = SVM )"
18,0,50,0.06990099009900991,0.051118649836836096,0.01980198019801982,0.2376237623762376,0.09375,109,114.6,13,9.54,16,12.82,30.42,41,0.00015354156494140625,61.39089298248291,"stack ( KNN ( n_neighbors = 10 ) , KNN ( n_neighbors = 50 ) , RF ( n_estimators = 5 ) , XGB ( max_depth = 10 ) , XGB ( max_depth = 50 ) , XGB ( n_estimators = 3 ) , SVM ( C = 0.5 , kernel = poly ) , NB ( var_smoothing = 1e-6 ) , NB ( var_smoothing = 1e-6 ) , XGB ( n_estimators = 100 , max_depth = 50 ) ; final_estimator = SVM )"
19,0,50,0.06633663366336635,0.042895404004820725,0.01980198019801982,0.26732673267326734,0.09375,109,119.66,13,9.6,16,12.96,30.28,41,0.00020647048950195312,58.95300531387329,"stack ( KNN ( n_neighbors = 10 ) , KNN ( n_neighbors = 50 ) , RF ( n_estimators = 5 ) , XGB ( max_depth = 10 ) , XGB ( max_depth = 50 ) , XGB ( n_estimators = 3 ) , SVM ( C = 0.5 , kernel = poly ) , NB ( var_smoothing = 1e-6 ) , NB ( var_smoothing = 1e-6 ) , XGB ( n_estimators = 100 , max_depth = 50 ) ; final_estimator = SVM )"
20,0,50,0.0700990099009901,0.05208485456720346,0.01980198019801982,0.3366336633663366,0.09375,109,129.68,13,8.38,16,12.3,26.96,41,0.00024318695068359375,48.73303532600403,"stack ( KNN ( n_neighbors = 10 ) , KNN ( n_neighbors = 50 ) , RF ( n_estimators = 5 ) , XGB ( max_depth = 10 ) , XGB ( max_depth = 50 ) , XGB ( n_estimators = 3 ) , SVM ( C = 0.5 , kernel = poly ) , NB ( var_smoothing = 1e-6 ) , NB ( var_smoothing = 1e-6 ) , XGB ( n_estimators = 100 , max_depth = 50 ) ; final_estimator = SVM )"
