age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
55,Private,113912,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20,United-States,0
23,Federal-gov,361278,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,20,United-States,1
22,Self-emp-not-inc,143062,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,Greece,0
42,Private,169383,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,2
18,Private,88642,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,15,United-States,0
45,Self-emp-not-inc,247379,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,2
20,Private,113200,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,6,United-States,0
36,Self-emp-not-inc,151094,Assoc-voc,11,Separated,Exec-managerial,Not-in-family,White,Male,0,0,48,United-States,0
53,Local-gov,202733,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,70,United-States,2
29,Private,180299,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,35,United-States,0
33,Local-gov,242150,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,0
50,Self-emp-not-inc,198581,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,2
21,Private,148444,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,0
20,Private,162688,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,38,United-States,0
38,Private,589809,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,3
31,Private,141817,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,,1
39,Federal-gov,472166,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,0
24,Private,227594,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,0
46,Private,175925,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
59,Private,152968,Some-college,10,Separated,Adm-clerical,Other-relative,White,Male,3325,0,40,United-States,0
35,Private,126569,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,United-States,0
60,Private,247483,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,1
33,Self-emp-not-inc,34102,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States,0
36,Private,115834,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,7298,0,55,United-States,2
23,Private,203139,Some-college,10,Never-married,Other-service,Other-relative,White,Female,0,0,40,United-States,0
47,Private,213408,9th,5,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,Cuba,1
31,Private,109020,Bachelors,13,Never-married,Prof-specialty,Unmarried,Other,Male,0,0,40,United-States,0
40,Private,170214,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,2
29,Private,464536,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
33,Private,100135,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1740,25,United-States,0
28,Self-emp-not-inc,228043,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,48,United-States,1
38,Private,104094,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
40,Private,287983,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,48,Philippines,0
51,Private,144084,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,0
36,Private,66173,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,0
61,Private,130684,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,42,United-States,0
72,,51216,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,14,United-States,1
30,Private,241259,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
32,Private,207284,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
46,?,443179,Bachelors,13,Divorced,?,Not-in-family,White,Female,0,0,8,United-States,0
62,Private,162825,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,2
32,Self-emp-not-inc,220148,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
57,Private,262642,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,0
39,Private,82699,Prof-school,15,Divorced,Prof-specialty,Not-in-family,Black,Female,13550,0,70,United-States,3
19,Private,219867,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,35,United-States,0
20,Private,298227,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,35,United-States,0
23,Private,342946,11th,7,Never-married,Transport-moving,Own-child,White,Female,0,0,38,United-States,0
23,State-gov,101094,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,60,United-States,0
73,Self-emp-inc,92886,10th,6,Widowed,Sales,Unmarried,White,Female,0,0,40,Canada,0
58,Private,56331,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
18,?,169882,Some-college,10,Never-married,?,Own-child,White,Female,594,0,15,United-States,0
36,Federal-gov,223749,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,3
61,Private,85194,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,25,United-States,0
56,Private,118993,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,1
29,Private,137063,HS-grad,9,Never-married,Sales,Unmarried,White,Male,0,0,38,United-States,0
18,Private,168288,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
34,Private,193036,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,2
40,Private,139193,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,1980,48,United-States,0
56,Self-emp-not-inc,214323,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
21,Private,216129,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,0
37,Private,210830,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Female,0,0,38,United-States,1
37,Self-emp-inc,95634,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,Canada,1
51,Private,161838,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,57,United-States,0
37,Self-emp-not-inc,410919,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,0
50,Private,269095,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
30,Private,285902,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
20,Private,174391,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,0
37,Private,74593,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,United-States,0
30,Private,33945,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,1
57,?,137658,HS-grad,9,Married-civ-spouse,?,Husband,Other,Male,0,0,5,Columbia,0
26,Private,339423,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,1
22,Private,99199,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,50,United-States,1
22,Private,62865,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
45,Private,169180,Some-college,10,Widowed,Other-service,Unmarried,White,Female,0,0,45,United-States,0
33,Private,318982,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,38,United-States,1
36,Private,345310,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,30,United-States,1
41,Private,194636,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,2
35,Private,332588,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,30,United-States,0
37,Self-emp-inc,111128,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,2
26,Private,132749,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,45,United-States,0
38,Self-emp-not-inc,64875,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,50,United-States,0
26,Private,151971,Some-college,10,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,35,United-States,1
31,Private,229732,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,0,0,50,United-States,1
32,Private,30271,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,1
38,Self-emp-inc,124665,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Female,0,0,20,United-States,0
28,Private,282398,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,1
41,Private,394669,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,1741,40,United-States,0
45,Private,240841,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
41,Private,91316,Assoc-acdm,12,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,1
53,Private,36327,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,2
23,Private,46561,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,0
41,Private,286970,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
26,State-gov,28366,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
49,Private,107373,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,99,United-States,3
24,?,174182,11th,7,Married-civ-spouse,?,Wife,Other,Female,0,0,24,United-States,0
32,Private,164507,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,Columbia,0
34,,304872,Some-college,10,Widowed,,Unmarried,White,Female,0,0,40,United-States,1
36,Private,181322,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,0
39,Private,214816,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,0
53,Private,104413,HS-grad,9,Widowed,Other-service,Unmarried,Black,Female,0,0,20,United-States,0
32,Federal-gov,82393,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,56,United-States,2
18,Private,157131,12th,8,Never-married,Sales,Own-child,White,Female,0,0,8,United-States,0
50,Private,22418,9th,5,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,0
38,Private,183279,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,United-States,2
26,Private,57600,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
43,Private,212894,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,2
40,Self-emp-inc,175696,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,51,United-States,0
39,Private,315565,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,Cuba,0
30,Private,236543,9th,5,Married-civ-spouse,Other-service,Husband,White,Male,0,0,32,El-Salvador,3
27,Private,85625,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,22,United-States,0
36,Private,220585,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,2
35,Self-emp-not-inc,238802,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,0
24,Private,92609,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,45,United-States,0
61,Private,191417,9th,5,Widowed,Exec-managerial,Not-in-family,Black,Male,0,0,65,United-States,0
62,?,223447,12th,8,Divorced,?,Not-in-family,White,Male,0,0,40,Canada,0
47,Private,120131,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
28,Private,156967,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,1
64,Federal-gov,271550,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,2
36,Private,198587,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
45,Private,102147,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
51,Private,310774,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,2
22,,269221,Assoc-acdm,12,Never-married,,Own-child,White,Male,0,0,40,United-States,1
50,Private,171338,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,2
59,Self-emp-inc,146477,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,2
20,Private,82777,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,16,United-States,0
42,Private,213214,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
41,Private,66208,Prof-school,15,Divorced,Prof-specialty,Unmarried,White,Female,0,0,45,United-States,1
22,Private,193586,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,25,United-States,0
59,Local-gov,420537,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,38,United-States,2
41,Private,54422,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,1
60,Private,121832,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,2
32,State-gov,347623,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,3411,0,40,United-States,1
18,Private,210932,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
48,Local-gov,123075,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,2
30,Private,132601,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,2
32,Private,496743,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,0
90,Private,87285,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,24,United-States,0
58,Private,212534,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
29,Private,231601,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,1
57,Private,299358,HS-grad,9,Widowed,Other-service,Other-relative,White,Female,0,1719,25,United-States,0
44,Local-gov,193425,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,4386,0,40,United-States,2
57,Private,163047,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,38,United-States,0
32,Private,154950,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,44,United-States,3
25,Private,315643,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,30,United-States,0
21,Private,20728,HS-grad,9,Never-married,Sales,Own-child,White,Female,4101,0,40,United-States,0
22,Private,269623,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,1
37,Private,227128,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
52,Private,164135,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,2
40,Private,90582,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,1
21,Private,249957,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
22,Private,129508,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,28,United-States,0
35,Private,140915,Bachelors,13,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,1590,40,South,0
29,Private,412435,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,Outlying-US(Guam-USVI-etc),0
39,Private,58343,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,2
19,Private,292590,HS-grad,9,Married-civ-spouse,Sales,Other-relative,White,Female,0,0,25,United-States,0
27,State-gov,261278,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,80,,1
36,Self-emp-not-inc,240191,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,41310,0,90,South,1
35,Private,301862,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,50,United-States,0
52,Private,135607,Some-college,10,Widowed,Other-service,Unmarried,Black,Female,0,0,40,?,0
39,Private,187921,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,99,United-States,1
26,Local-gov,208122,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,1055,0,40,United-States,0
52,Private,260938,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
23,Private,130905,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
53,Private,226135,9th,5,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,Jamaica,0
52,Private,190333,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,2
23,?,243190,Some-college,10,Never-married,?,Own-child,Asian-Pac-Islander,Male,0,0,20,China,0
22,Private,186573,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Female,0,0,46,United-States,0
25,Private,267012,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,0
31,Local-gov,192565,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,90,United-States,2
46,Self-emp-inc,110457,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,2
24,Private,178255,Some-college,10,Married-civ-spouse,Priv-house-serv,Wife,White,Female,0,0,40,?,0
30,Local-gov,94041,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,3325,0,35,United-States,1
37,Private,73715,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,2
44,Private,164678,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,0
37,Private,387430,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,37,United-States,0
55,Self-emp-inc,182273,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
34,Private,100882,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,47,United-States,3
34,Self-emp-not-inc,289731,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
28,Private,206351,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
24,Private,222005,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,0,0,30,United-States,0
51,Private,200576,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
19,State-gov,61710,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,12,United-States,1
31,Federal-gov,108464,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,0
25,Private,266062,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,65,United-States,1
36,Private,135162,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,45,?,0
47,Private,139268,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,0
35,Private,30565,HS-grad,9,Married-AF-spouse,Other-service,Wife,White,Female,0,0,40,United-States,2
50,Local-gov,159689,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,1
56,Private,98630,7th-8th,4,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
