model_string,cache_key,hit_count,accuracy,mae,training_time_sec
"stack ( RF ( n_estimators = 10 , max_depth = 10 ) , SVM ( C = 50 , kernel = linear ) ; cv = 10 )","stack ( RF ( n_estimators = 10 , max_depth = 10 ) , SVM ( C = 50 , kernel = linear ) ; cv = 10 )",0,0.953125,0.046875,0.5455798549992323
stack ( LR ( penalty = elasticnet ) ; cv = 10 ),stack ( LR ( penalty = elasticnet ) ; cv = 10 ),1,0.96875,0.03125,0.5246305900000152
stack ( LR ( penalty = elasticnet ) ; cv = 2 ),stack ( LR ( penalty = elasticnet ) ; cv = 2 ),1,0.96875,0.03125,0.5621370820008451
"stack ( LR ( penalty = elasticnet ) ; final_estimator = KNN , cv = 50 )","stack ( LR ( penalty = elasticnet ) ; final_estimator = KNN , cv = 50 )",0,0.96875,0.03125,0.5856044749998546
"stack ( RF ( max_depth = 1 ) , NB ( var_smoothing = 1e-8 ) ; cv = 5 )","stack ( RF ( max_depth = 1 ) , NB ( var_smoothing = 1e-8 ) ; cv = 5 )",0,0.953125,0.046875,0.8331355160007661
vote ( KNN ( n_neighbors = 5 ) ; voting = hard ),vote ( KNN ( n_neighbors = 5 ) ; voting = hard ),3,0.984375,0.015625,0.011186208001163322
"stack ( LR ( C = 1.0 , max_iter = 3 ) ; final_estimator = LR )","stack ( LR ( C = 1.0 , max_iter = 3 ) ; final_estimator = LR )",0,0.96875,0.03125,0.12790664299973287
"vote ( LR ( C = 0.5 , max_iter = 1 ) , GB ( n_estimators = 2 , learning_rate = 0.5 ) ; voting = hard )","vote ( LR ( C = 0.5 , max_iter = 1 ) , GB ( n_estimators = 2 , learning_rate = 0.5 ) ; voting = hard )",0,0.9375,0.0625,0.03608249099852401
"stack ( DT ( max_depth = 3 , criterion = gini ) ; final_estimator = SVM , cv = 10 )","stack ( DT ( max_depth = 3 , criterion = gini ) ; final_estimator = SVM , cv = 10 )",0,0.90625,0.09375,0.10867859599966323
"stack ( SVM ( C = 50 , kernel = poly ) ; final_estimator = LR )","stack ( SVM ( C = 50 , kernel = poly ) ; final_estimator = LR )",0,0.96875,0.03125,0.16574274199956562
"stack ( KNN ( n_neighbors = 3 ) ; final_estimator = LR , cv = 10 )","stack ( KNN ( n_neighbors = 3 ) ; final_estimator = LR , cv = 10 )",0,0.96875,0.03125,0.16522346599958837
"stack ( KNN ( n_neighbors = 3 ) ; final_estimator = KNN , cv = 5 )","stack ( KNN ( n_neighbors = 3 ) ; final_estimator = KNN , cv = 5 )",1,0.96875,0.03125,0.17578478200084646
vote ( LR ( penalty = l2 ) ; voting = soft ),vote ( LR ( penalty = l2 ) ; voting = soft ),0,0.953125,0.046875,0.025713359002111247
"stack ( SVM ( C = 1.0 , kernel = poly ) ; final_estimator = LR , cv = 50 )","stack ( SVM ( C = 1.0 , kernel = poly ) ; final_estimator = LR , cv = 50 )",1,0.96875,0.03125,0.12038187399957678
"stack ( SVM ( C = 50 , kernel = poly ) ; cv = 10 )","stack ( SVM ( C = 50 , kernel = poly ) ; cv = 10 )",0,0.96875,0.03125,0.0718533250001201
"stack ( KNN ( n_neighbors = 3 ) ; final_estimator = DT , cv = 2 )","stack ( KNN ( n_neighbors = 3 ) ; final_estimator = DT , cv = 2 )",0,0.96875,0.03125,0.09646909699949902
"stack ( KNN ( n_neighbors = 2 ) , LR ( penalty = l2 ) ; final_estimator = KNN , cv = 3 )","stack ( KNN ( n_neighbors = 2 ) , LR ( penalty = l2 ) ; final_estimator = KNN , cv = 3 )",0,0.953125,0.046875,0.23878158500156133
stack ( GB ( n_estimators = 5 ) ; cv = 50 ),stack ( GB ( n_estimators = 5 ) ; cv = 50 ),0,0.90625,0.09375,0.37783734100230504
"stack ( XGB ( n_estimators = 2 , max_depth = 50 ) ; final_estimator = NB )","stack ( XGB ( n_estimators = 2 , max_depth = 50 ) ; final_estimator = NB )",0,0.875,0.125,0.2494073589987238
stack ( LR ( penalty = elasticnet ) ; cv = 5 ),stack ( LR ( penalty = elasticnet ) ; cv = 5 ),3,0.96875,0.03125,0.6015663210018829
"stack ( KNN ( n_neighbors = 3 ) , LR ( penalty = elasticnet ) ; final_estimator = LR )","stack ( KNN ( n_neighbors = 3 ) , LR ( penalty = elasticnet ) ; final_estimator = LR )",0,0.953125,0.046875,0.6365432359998522
"stack ( RF ( max_depth = 3 ) , KNN ( n_neighbors = 3 ) ; cv = 10 )","stack ( RF ( max_depth = 3 ) , KNN ( n_neighbors = 3 ) ; cv = 10 )",0,0.96875,0.03125,1.0103806460028864
stack ( XGB ( max_depth = 2 ) ; cv = 10 ),stack ( XGB ( max_depth = 2 ) ; cv = 10 ),0,0.96875,0.03125,1.122596754001279
"stack ( XGB ( max_depth = 2 ) ; final_estimator = KNN , cv = 3 )","stack ( XGB ( max_depth = 2 ) ; final_estimator = KNN , cv = 3 )",0,0.96875,0.03125,1.2704423639988818
stack ( XGB ( max_depth = 2 ) ; cv = 2 ),stack ( XGB ( max_depth = 2 ) ; cv = 2 ),0,0.96875,0.03125,1.3198864440018951
stack ( XGB ( max_depth = 5 ) ; final_estimator = GB ),stack ( XGB ( max_depth = 5 ) ; final_estimator = GB ),0,0.9375,0.0625,1.3252840460008883
stack ( XGB ( max_depth = 3 ) ; cv = 3 ),stack ( XGB ( max_depth = 3 ) ; cv = 3 ),0,0.921875,0.078125,1.3306474070013792
"vote ( KNN ( n_neighbors = 5 ) , KNN ( n_neighbors = 3 ) ; voting = hard )","vote ( KNN ( n_neighbors = 5 ) , KNN ( n_neighbors = 3 ) ; voting = hard )",0,0.96875,0.03125,0.011944939997192705
"ada ( LR ( penalty = l2 ) ; n_estimators = 3 , algorithm = SAMME )","ada ( LR ( penalty = l2 ) ; n_estimators = 3 , algorithm = SAMME )",0,0.953125,0.046875,0.12017248199845199
"stack ( SVM ( C = 1.0 , kernel = poly ) ; final_estimator = GB , cv = 10 )","stack ( SVM ( C = 1.0 , kernel = poly ) ; final_estimator = GB , cv = 10 )",0,0.96875,0.03125,0.12993032300073537
vote ( XGB ( n_estimators = 3 ) ; voting = hard ),vote ( XGB ( n_estimators = 3 ) ; voting = hard ),0,0.890625,0.109375,0.12745845500103314
"stack ( SVM ( C = 1.0 , kernel = linear ) ; final_estimator = DT , cv = 3 )","stack ( SVM ( C = 1.0 , kernel = linear ) ; final_estimator = DT , cv = 3 )",0,0.953125,0.046875,0.1112630169991462
"stack ( SVM ( C = 50 , kernel = poly ) ; final_estimator = NB )","stack ( SVM ( C = 50 , kernel = poly ) ; final_estimator = NB )",0,0.96875,0.03125,0.13665109399880748
"stack ( KNN ( n_neighbors = 3 ) ; final_estimator = LR , cv = 3 )","stack ( KNN ( n_neighbors = 3 ) ; final_estimator = LR , cv = 3 )",0,0.96875,0.03125,0.15628937700239476
vote ( KNN ( n_neighbors = 10 ) ; voting = soft ),vote ( KNN ( n_neighbors = 10 ) ; voting = soft ),0,0.96875,0.03125,0.007488719998946181
"stack ( KNN ( n_neighbors = 10 ) ; final_estimator = RF , cv = 10 )","stack ( KNN ( n_neighbors = 10 ) ; final_estimator = RF , cv = 10 )",1,0.96875,0.03125,0.18644664200110128
"stack ( KNN ( n_neighbors = 3 ) ; final_estimator = NB , cv = 1 )","stack ( KNN ( n_neighbors = 3 ) ; final_estimator = NB , cv = 1 )",0,0.96875,0.03125,0.1363982049988408
"stack ( LR ( C = 0.1 , max_iter = 3 ) ; cv = 10 )","stack ( LR ( C = 0.1 , max_iter = 3 ) ; cv = 10 )",0,0.96875,0.03125,0.09870060799948988
"stack ( SVM ( C = 50 , kernel = rbf ) ; final_estimator = LR , cv = 10 )","stack ( SVM ( C = 50 , kernel = rbf ) ; final_estimator = LR , cv = 10 )",0,0.921875,0.078125,0.1459117039994453
stack ( KNN ( n_neighbors = 10 ) ; cv = 10 ),stack ( KNN ( n_neighbors = 10 ) ; cv = 10 ),1,0.96875,0.03125,0.234061257000576
"stack ( KNN ( n_neighbors = 2 ) , DT ( max_depth = 3 , criterion = entropy , min_samples_split = 0.3 ) ; cv = 3 )","stack ( KNN ( n_neighbors = 2 ) , DT ( max_depth = 3 , criterion = entropy , min_samples_split = 0.3 ) ; cv = 3 )",0,0.953125,0.046875,0.31866028100193944
"vote ( RF ( n_estimators = 10 , max_depth = 3 ) ; voting = hard )","vote ( RF ( n_estimators = 10 , max_depth = 3 ) ; voting = hard )",0,0.90625,0.09375,0.08734893200016813
"stack ( KNN ( n_neighbors = 10 ) ; final_estimator = DT , cv = 5 )","stack ( KNN ( n_neighbors = 10 ) ; final_estimator = DT , cv = 5 )",0,0.96875,0.03125,0.18066778699721908
"stack ( LR ( penalty = l2 ) ; final_estimator = KNN , cv = 3 )","stack ( LR ( penalty = l2 ) ; final_estimator = KNN , cv = 3 )",0,0.96875,0.03125,0.18988283099679393
"stack ( KNN ( n_neighbors = 10 ) ; final_estimator = DT , cv = 5 )","stack ( KNN ( n_neighbors = 10 ) ; final_estimator = DT , cv = 5 )",0,0.96875,0.03125,0.17149987799712108
"stack ( KNN ( n_neighbors = 5 ) ; final_estimator = LR , cv = 2 )","stack ( KNN ( n_neighbors = 5 ) ; final_estimator = LR , cv = 2 )",0,0.984375,0.015625,0.11758147499858751
vote ( RF ( max_depth = 10 ) ; voting = hard ),vote ( RF ( max_depth = 10 ) ; voting = hard ),0,0.921875,0.078125,0.2595883129979484
"stack ( XGB ( n_estimators = 10 ) ; final_estimator = NB , cv = 10 )","stack ( XGB ( n_estimators = 10 ) ; final_estimator = NB , cv = 10 )",0,0.890625,0.109375,0.5107129989992245
"stack ( XGB ( max_depth = 10 ) ; final_estimator = DT , cv = 5 )","stack ( XGB ( max_depth = 10 ) ; final_estimator = DT , cv = 5 )",0,0.90625,0.09375,0.9258350189993507
stack ( RF ( max_depth = 10 ) ; final_estimator = GB ),stack ( RF ( max_depth = 10 ) ; final_estimator = GB ),0,0.921875,0.078125,1.0190282340008707
"bag ( GB ( n_estimators = 2 ) ; n_estimators = 1 , max_features = 0.5 )","bag ( GB ( n_estimators = 2 ) ; n_estimators = 1 , max_features = 0.5 )",0,0.953125,0.046875,0.04794967699854169
bag ( DT ( criterion = entropy ) ; max_samples = 0.1 ),bag ( DT ( criterion = entropy ) ; max_samples = 0.1 ),1,0.953125,0.046875,0.08268830600354704
bag ( KNN ( n_neighbors = 2 ) ; max_features = 10 ),bag ( KNN ( n_neighbors = 2 ) ; max_features = 10 ),1,0.96875,0.03125,0.11600192000332754
stack ( KNN ( n_neighbors = 3 ) ; final_estimator = GB ),stack ( KNN ( n_neighbors = 3 ) ; final_estimator = GB ),6,0.984375,0.015625,0.1342352959982236
ada ( DT ( max_depth = 5 ) ; algorithm = SAMME ),ada ( DT ( max_depth = 5 ) ; algorithm = SAMME ),3,0.953125,0.046875,0.12219064999953844
stack ( KNN ( n_neighbors = 10 ) ; final_estimator = DT ),stack ( KNN ( n_neighbors = 10 ) ; final_estimator = DT ),7,0.984375,0.015625,0.15495596300024772
bag ( LR ( C = 0.1 ) ; max_features = 1.0 ),bag ( LR ( C = 0.1 ) ; max_features = 1.0 ),7,0.984375,0.015625,0.18076395000025514
"bag ( RF ( n_estimators = 10 , max_depth = 3 ) ; max_samples = 10 )","bag ( RF ( n_estimators = 10 , max_depth = 3 ) ; max_samples = 10 )",0,0.953125,0.046875,0.3286825789982686
