cmd,created_at,fit_points_id,fitness,hit_count,points_id,source
vote ( KNN ( n_neighbors = 100 ) ),2026-02-16T14:21:49,"(127912421856560, 127912421855504)","(0.4196428571428571,)",2,"(127912421854544, 127912421854832)",gui
"stack ( SVM ( C = 1.0 , kernel = poly ) )",2026-02-16T14:21:49,"(127912421856560, 127912421855504)","(0.3660714285714286,)",2,"(127912421854544, 127912421854832)",gui
ada ( NB ( var_smoothing = 1e-7 ) ; n_estimators = 3 ),2026-02-16T14:21:49,"(127912421856560, 127912421855504)","(0.3705357142857143,)",0,"(127912421854544, 127912421854832)",gui
vote ( KNN ( n_neighbors = 10 ) ),2026-02-16T14:21:49,"(127912421856560, 127912421855504)","(0.3839285714285714,)",1,"(127912421854544, 127912421854832)",gui
"vote ( DT ( max_depth = 2 , min_samples_split = 0.4 ) )",2026-02-16T14:21:49,"(127912421856560, 127912421855504)","(0.3392857142857143,)",1,"(127912421854544, 127912421854832)",gui
"vote ( XGB ( n_estimators = 3 , max_depth = 50 ) )",2026-02-16T14:21:50,"(127912421856560, 127912421855504)","(0.40625,)",0,"(127912421854544, 127912421854832)",gui
"ada ( DT ( max_depth = 1 , criterion = entropy ) )",2026-02-16T14:21:50,"(127912421856560, 127912421855504)","(0.3571428571428571,)",5,"(127912421854544, 127912421854832)",gui
stack ( NB ( var_smoothing = 1e-9 ) ),2026-02-16T14:21:50,"(127912421856560, 127912421855504)","(0.3794642857142857,)",13,"(127912421854544, 127912421854832)",gui
ada ( RF ( max_depth = 3 ) ; n_estimators = 5 ),2026-02-16T14:21:50,"(127912421856560, 127912421855504)","(0.3616071428571429,)",0,"(127912421854544, 127912421854832)",gui
"bag ( XGB ( n_estimators = 5 , max_depth = 5 ) )",2026-02-16T14:21:50,"(127912421856560, 127912421855504)","(0.3571428571428571,)",2,"(127912421854544, 127912421854832)",gui
vote ( RF ( max_depth = 5 ) ),2026-02-16T14:21:50,"(127912421856560, 127912421855504)","(0.3482142857142857,)",11,"(127912421854544, 127912421854832)",gui
"vote ( GB ( n_estimators = 3 , learning_rate = 1.0 ) ; n_estimators = 10 )",2026-02-16T14:21:50,"(127912421856560, 127912421855504)","(0.3973214285714286,)",0,"(127912421854544, 127912421854832)",gui
vote ( NB ( var_smoothing = 1e-7 ) ; voting = hard ),2026-02-16T14:21:50,"(127912421856560, 127912421855504)","(0.3705357142857143,)",2,"(127912421854544, 127912421854832)",gui
vote ( XGB ( n_estimators = 3 ) ; final_estimator = RF ),2026-02-16T14:21:50,"(127912421856560, 127912421855504)","(0.3526785714285714,)",0,"(127912421854544, 127912421854832)",gui
"bag ( RF ( n_estimators = 100 , max_depth = 5 ) )",2026-02-16T14:21:51,"(127912421856560, 127912421855504)","(0.3571428571428571,)",0,"(127912421854544, 127912421854832)",gui
stack ( NB ( var_smoothing = 1e-9 ) ; final_estimator = RF ),2026-02-16T14:21:51,"(127912421856560, 127912421855504)","(0.3794642857142857,)",0,"(127912421854544, 127912421854832)",gui
ada ( GB ( learning_rate = 1.0 ) ),2026-02-16T14:21:57,"(127912421856560, 127912421855504)","(0.3883928571428571,)",4,"(127912421854544, 127912421854832)",gui
ada ( RF ( max_depth = 1 ) ),2026-02-16T14:22:00,"(127912421856560, 127912421855504)","(0.3616071428571429,)",2,"(127912421854544, 127912421854832)",gui
vote ( KNN ( n_neighbors = 100 ) ; voting = hard ),2026-02-16T14:22:00,"(127912421856560, 127912421855504)","(0.4196428571428571,)",0,"(127912421854544, 127912421854832)",gui
bag ( RF ( max_depth = 200 ) ),2026-02-16T14:22:01,"(127912421856560, 127912421855504)","(0.3794642857142857,)",19,"(127912421854544, 127912421854832)",gui
bag ( SVM ( C = 50 ) ),2026-02-16T14:22:01,"(127912421856560, 127912421855504)","(0.4241071428571429,)",8,"(127912421854544, 127912421854832)",gui
bag ( SVM ( kernel = linear ) ; voting = soft ),2026-02-16T14:22:01,"(127912421856560, 127912421855504)","(0.4196428571428571,)",1,"(127912421854544, 127912421854832)",gui
bag ( SVM ( C = 0.5 ) ),2026-02-16T14:22:01,"(127912421856560, 127912421855504)","(0.3883928571428571,)",4,"(127912421854544, 127912421854832)",gui
ada ( XGB ( max_depth = 5 ) ; voting = hard ),2026-02-16T14:22:02,"(127912421856560, 127912421855504)","(0.40625,)",0,"(127912421854544, 127912421854832)",gui
stack ( GB ( n_estimators = 50 ) ),2026-02-16T14:22:02,"(127912421856560, 127912421855504)","(0.3660714285714286,)",9,"(127912421854544, 127912421854832)",gui
bag ( RF ( max_depth = 1 ) ),2026-02-16T14:22:03,"(127912421856560, 127912421855504)","(0.3482142857142857,)",68,"(127912421854544, 127912421854832)",gui
"stack ( DT ( max_depth = 3 , criterion = gini ) ; final_estimator = DT )",2026-02-16T14:22:03,"(127912421856560, 127912421855504)","(0.34375,)",5,"(127912421854544, 127912421854832)",gui
ada ( GB ( learning_rate = 200 ) ; n_estimators = 5 ),2026-02-16T14:22:03,"(127912421856560, 127912421855504)","(0.59375,)",0,"(127912421854544, 127912421854832)",gui
bag ( DT ( criterion = entropy ) ),2026-02-16T14:22:03,"(127912421856560, 127912421855504)","(0.4107142857142857,)",14,"(127912421854544, 127912421854832)",gui
vote ( KNN ( n_neighbors = 10 ) ; final_estimator = GB ),2026-02-16T14:22:03,"(127912421856560, 127912421855504)","(0.3839285714285714,)",0,"(127912421854544, 127912421854832)",gui
"stack ( SVM ( C = 10 , kernel = sigmoid ) )",2026-02-16T14:22:04,"(127912421856560, 127912421855504)","(0.4196428571428571,)",0,"(127912421854544, 127912421854832)",gui
stack ( SVM ( C = 0.1 ) ),2026-02-16T14:22:04,"(127912421856560, 127912421855504)","(0.3973214285714286,)",2,"(127912421854544, 127912421854832)",gui
bag ( XGB ( n_estimators = 50 ) ),2026-02-16T14:22:04,"(127912421856560, 127912421855504)","(0.3928571428571429,)",24,"(127912421854544, 127912421854832)",gui
ada ( GB ( learning_rate = 1.0 ) ; n_estimators = 1 ),2026-02-16T14:22:04,"(127912421856560, 127912421855504)","(0.4553571428571429,)",0,"(127912421854544, 127912421854832)",gui
bag ( NB ( var_smoothing = 1e-6 ) ; voting = hard ),2026-02-16T14:22:04,"(127912421856560, 127912421855504)","(0.3705357142857143,)",4,"(127912421854544, 127912421854832)",gui
ada ( RF ( n_estimators = 100 ) ; n_estimators = 100 ),2026-02-16T14:22:04,"(127912421856560, 127912421855504)","(0.3705357142857143,)",2,"(127912421854544, 127912421854832)",gui
vote ( KNN ( n_neighbors = 5 ) ; voting = hard ),2026-02-16T14:22:04,"(127912421856560, 127912421855504)","(0.4419642857142857,)",0,"(127912421854544, 127912421854832)",gui
ada ( GB ( n_estimators = 10 ) ; voting = soft ),2026-02-16T14:22:05,"(127912421856560, 127912421855504)","(0.3839285714285714,)",0,"(127912421854544, 127912421854832)",gui
"bag ( GB ( n_estimators = 3 , learning_rate = 0.1 ) )",2026-02-16T14:22:05,"(127912421856560, 127912421855504)","(0.375,)",3,"(127912421854544, 127912421854832)",gui
bag ( GB ( learning_rate = 50 ) ; voting = soft ),2026-02-16T14:22:06,"(127912421856560, 127912421855504)","(0.6607142857142857,)",6,"(127912421854544, 127912421854832)",gui
ada ( LR ( penalty = elasticnet ) ),2026-02-16T14:22:06,"(127912421856560, 127912421855504)","(0.40625,)",9,"(127912421854544, 127912421854832)",gui
bag ( KNN ( n_neighbors = 100 ) ; voting = hard ),2026-02-16T14:22:06,"(127912421856560, 127912421855504)","(0.4375,)",3,"(127912421854544, 127912421854832)",gui
stack ( NB ( var_smoothing = 1e-7 ) ; n_estimators = 5 ),2026-02-16T14:22:06,"(127912421856560, 127912421855504)","(0.3794642857142857,)",0,"(127912421854544, 127912421854832)",gui
"ada ( DT ( max_depth = 100 , min_samples_leaf = 1 ) )",2026-02-16T14:22:06,"(127912421856560, 127912421855504)","(0.4776785714285714,)",0,"(127912421854544, 127912421854832)",gui
bag ( NB ( var_smoothing = 1e-9 ) ; final_estimator = SVM ),2026-02-16T14:22:06,"(127912421856560, 127912421855504)","(0.3794642857142857,)",2,"(127912421854544, 127912421854832)",gui
bag ( LR ( penalty = elasticnet ) ; final_estimator = RF ),2026-02-16T14:22:06,"(127912421856560, 127912421855504)","(0.4151785714285714,)",0,"(127912421854544, 127912421854832)",gui
stack ( NB ( var_smoothing = 1e-7 ) ; voting = soft ),2026-02-16T14:22:06,"(127912421856560, 127912421855504)","(0.3794642857142857,)",1,"(127912421854544, 127912421854832)",gui
ada ( NB ( var_smoothing = 1e-9 ) ),2026-02-16T14:22:06,"(127912421856560, 127912421855504)","(0.6071428571428572,)",3,"(127912421854544, 127912421854832)",gui
stack ( GB ( learning_rate = 10 ) ; final_estimator = KNN ),2026-02-16T14:22:07,"(127912421856560, 127912421855504)","(0.3973214285714286,)",0,"(127912421854544, 127912421854832)",gui
stack ( SVM ( C = 50 ) ; n_estimators = 2 ),2026-02-16T14:22:07,"(127912421856560, 127912421855504)","(0.4017857142857143,)",0,"(127912421854544, 127912421854832)",gui
stack ( NB ( var_smoothing = 1e-7 ) ),2026-02-16T14:22:07,"(127912421856560, 127912421855504)","(0.3794642857142857,)",4,"(127912421854544, 127912421854832)",gui
stack ( SVM ( C = 1.0 ) ),2026-02-16T14:22:08,"(127912421856560, 127912421855504)","(0.3794642857142857,)",0,"(127912421854544, 127912421854832)",gui
ada ( NB ( var_smoothing = 1e-6 ) ; final_estimator = RF ),2026-02-16T14:22:08,"(127912421856560, 127912421855504)","(0.5491071428571428,)",0,"(127912421854544, 127912421854832)",gui
ada ( RF ( max_depth = 3 ) ; final_estimator = SVM ),2026-02-16T14:22:11,"(127912421856560, 127912421855504)","(0.4151785714285714,)",0,"(127912421854544, 127912421854832)",gui
bag ( SVM ( C = 200 ) ),2026-02-16T14:22:11,"(127912421856560, 127912421855504)","(0.3660714285714286,)",4,"(127912421854544, 127912421854832)",gui
bag ( DT ( criterion = gini ) ),2026-02-16T14:22:11,"(127912421856560, 127912421855504)","(0.40625,)",18,"(127912421854544, 127912421854832)",gui
"bag ( GB ( n_estimators = 5 , learning_rate = 200 ) ; n_estimators = 200 )",2026-02-16T14:22:13,"(127912421856560, 127912421855504)","(0.59375,)",0,"(127912421854544, 127912421854832)",gui
ada ( RF ( n_estimators = 200 ) ),2026-02-16T14:22:13,"(127912421856560, 127912421855504)","(0.40625,)",3,"(127912421854544, 127912421854832)",gui
vote ( NB ( var_smoothing = 1e-7 ) ; voting = soft ),2026-02-16T14:22:13,"(127912421856560, 127912421855504)","(0.3705357142857143,)",5,"(127912421854544, 127912421854832)",gui
stack ( DT ( max_depth = 10 ) ; voting = hard ),2026-02-16T14:22:13,"(127912421856560, 127912421855504)","(0.4553571428571429,)",0,"(127912421854544, 127912421854832)",gui
vote ( GB ( n_estimators = 50 ) ),2026-02-16T14:22:13,"(127912421856560, 127912421855504)","(0.375,)",5,"(127912421854544, 127912421854832)",gui
stack ( RF ( max_depth = 10 ) ),2026-02-16T14:22:14,"(127912421856560, 127912421855504)","(0.3794642857142857,)",4,"(127912421854544, 127912421854832)",gui
bag ( NB ( var_smoothing = 1e-8 ) ; n_estimators = 5 ),2026-02-16T14:22:14,"(127912421856560, 127912421855504)","(0.3794642857142857,)",2,"(127912421854544, 127912421854832)",gui
"stack ( SVM ( C = 1.0 , kernel = sigmoid ) )",2026-02-16T14:22:14,"(127912421856560, 127912421855504)","(0.4017857142857143,)",0,"(127912421854544, 127912421854832)",gui
bag ( XGB ( max_depth = 200 ) ),2026-02-16T14:22:15,"(127912421856560, 127912421855504)","(0.4419642857142857,)",40,"(127912421854544, 127912421854832)",gui
"bag ( RF ( n_estimators = 5 , max_depth = 5 ) )",2026-02-16T14:22:15,"(127912421856560, 127912421855504)","(0.3705357142857143,)",1,"(127912421854544, 127912421854832)",gui
"bag ( DT ( max_depth = 3 , criterion = gini ) ; final_estimator = DT )",2026-02-16T14:22:15,"(127912421856560, 127912421855504)","(0.34375,)",1,"(127912421854544, 127912421854832)",gui
stack ( NB ( var_smoothing = 1e-6 ) ; voting = hard ),2026-02-16T14:22:15,"(127912421856560, 127912421855504)","(0.3794642857142857,)",2,"(127912421854544, 127912421854832)",gui
"stack ( DT ( max_depth = 100 , criterion = log_loss ) ; n_estimators = 10 )",2026-02-16T14:22:15,"(127912421856560, 127912421855504)","(0.4955357142857143,)",0,"(127912421854544, 127912421854832)",gui
ada ( XGB ( n_estimators = 1 ) ; n_estimators = 100 ),2026-02-16T14:22:16,"(127912421856560, 127912421855504)","(0.40625,)",1,"(127912421854544, 127912421854832)",gui
"ada ( LR ( C = 10 , max_iter = 1 ) ; n_estimators = 3 )",2026-02-16T14:22:16,"(127912421856560, 127912421855504)","(0.3973214285714286,)",0,"(127912421854544, 127912421854832)",gui
ada ( LR ( C = 50 ) ),2026-02-16T14:22:16,"(127912421856560, 127912421855504)","(0.4196428571428571,)",2,"(127912421854544, 127912421854832)",gui
vote ( GB ( learning_rate = 100 ) ),2026-02-16T14:22:16,"(127912421856560, 127912421855504)","(0.59375,)",3,"(127912421854544, 127912421854832)",gui
ada ( GB ( learning_rate = 0.1 ) ; voting = soft ),2026-02-16T14:22:23,"(127912421856560, 127912421855504)","(0.4508928571428571,)",0,"(127912421854544, 127912421854832)",gui
"ada ( RF ( n_estimators = 2 , max_depth = 10 ) ; n_estimators = 1 )",2026-02-16T14:22:23,"(127912421856560, 127912421855504)","(0.4196428571428571,)",0,"(127912421854544, 127912421854832)",gui
bag ( XGB ( n_estimators = 3 ) ),2026-02-16T14:22:23,"(127912421856560, 127912421855504)","(0.3839285714285714,)",18,"(127912421854544, 127912421854832)",gui
"bag ( RF ( n_estimators = 3 , max_depth = 1 ) )",2026-02-16T14:22:23,"(127912421856560, 127912421855504)","(0.3392857142857143,)",9,"(127912421854544, 127912421854832)",gui
"bag ( XGB ( n_estimators = 10 , max_depth = 100 ) ; n_estimators = 1 )",2026-02-16T14:22:23,"(127912421856560, 127912421855504)","(0.4017857142857143,)",0,"(127912421854544, 127912421854832)",gui
vote ( NB ( var_smoothing = 1e-9 ) ),2026-02-16T14:22:23,"(127912421856560, 127912421855504)","(0.3705357142857143,)",10,"(127912421854544, 127912421854832)",gui
"stack ( DT ( max_depth = 2 , criterion = log_loss ) ; voting = hard )",2026-02-16T14:22:23,"(127912421856560, 127912421855504)","(0.3392857142857143,)",1,"(127912421854544, 127912421854832)",gui
"stack ( DT ( max_depth = 3 , criterion = gini ) ; final_estimator = NB )",2026-02-16T14:22:23,"(127912421856560, 127912421855504)","(0.34375,)",1,"(127912421854544, 127912421854832)",gui
stack ( NB ( var_smoothing = 1e-8 ) ),2026-02-16T14:22:23,"(127912421856560, 127912421855504)","(0.3794642857142857,)",10,"(127912421854544, 127912421854832)",gui
"ada ( DT ( max_depth = 1 , criterion = log_loss ) )",2026-02-16T14:22:23,"(127912421856560, 127912421855504)","(0.3571428571428571,)",7,"(127912421854544, 127912421854832)",gui
bag ( NB ( var_smoothing = 1e-8 ) ; final_estimator = GB ),2026-02-16T14:22:23,"(127912421856560, 127912421855504)","(0.375,)",3,"(127912421854544, 127912421854832)",gui
"bag ( XGB ( n_estimators = 1 , max_depth = 3 ) )",2026-02-16T14:22:23,"(127912421856560, 127912421855504)","(0.3303571428571429,)",285,"(127912421854544, 127912421854832)",gui
ada ( GB ( n_estimators = 50 ) ),2026-02-16T14:22:26,"(127912421856560, 127912421855504)","(0.4107142857142857,)",14,"(127912421854544, 127912421854832)",gui
ada ( RF ( max_depth = 1 ) ; n_estimators = 10 ),2026-02-16T14:22:27,"(127912421856560, 127912421855504)","(0.3348214285714286,)",3,"(127912421854544, 127912421854832)",gui
ada ( NB ( var_smoothing = 1e-8 ) ; n_estimators = 2 ),2026-02-16T14:22:27,"(127912421856560, 127912421855504)","(0.59375,)",3,"(127912421854544, 127912421854832)",gui
vote ( XGB ( n_estimators = 50 ) ; final_estimator = DT ),2026-02-16T14:22:27,"(127912421856560, 127912421855504)","(0.4107142857142857,)",0,"(127912421854544, 127912421854832)",gui
ada ( RF ( n_estimators = 100 ) ; n_estimators = 5 ),2026-02-16T14:22:27,"(127912421856560, 127912421855504)","(0.3973214285714286,)",0,"(127912421854544, 127912421854832)",gui
stack ( NB ( var_smoothing = 1e-7 ) ; final_estimator = LR ),2026-02-16T14:22:27,"(127912421856560, 127912421855504)","(0.3794642857142857,)",0,"(127912421854544, 127912421854832)",gui
ada ( RF ( n_estimators = 5 ) ),2026-02-16T14:22:27,"(127912421856560, 127912421855504)","(0.3973214285714286,)",2,"(127912421854544, 127912421854832)",gui
ada ( RF ( max_depth = 100 ) ),2026-02-16T14:22:28,"(127912421856560, 127912421855504)","(0.3794642857142857,)",2,"(127912421854544, 127912421854832)",gui
ada ( GB ( learning_rate = 1.0 ) ; n_estimators = 5 ),2026-02-16T14:22:28,"(127912421856560, 127912421855504)","(0.4285714285714286,)",0,"(127912421854544, 127912421854832)",gui
"ada ( LR ( C = 100 , max_iter = 200 ) ; voting = hard )",2026-02-16T14:22:28,"(127912421856560, 127912421855504)","(0.4196428571428571,)",0,"(127912421854544, 127912421854832)",gui
vote ( NB ( var_smoothing = 1e-9 ) ; final_estimator = RF ),2026-02-16T14:22:28,"(127912421856560, 127912421855504)","(0.3705357142857143,)",4,"(127912421854544, 127912421854832)",gui
vote ( SVM ( kernel = sigmoid ) ),2026-02-16T14:22:28,"(127912421856560, 127912421855504)","(0.40625,)",5,"(127912421854544, 127912421854832)",gui
bag ( KNN ( n_neighbors = 3 ) ),2026-02-16T14:22:28,"(127912421856560, 127912421855504)","(0.3928571428571429,)",21,"(127912421854544, 127912421854832)",gui
ada ( GB ( n_estimators = 10 ) ; voting = hard ),2026-02-16T14:22:29,"(127912421856560, 127912421855504)","(0.3839285714285714,)",1,"(127912421854544, 127912421854832)",gui
stack ( LR ( C = 0.5 ) ; voting = hard ),2026-02-16T14:22:29,"(127912421856560, 127912421855504)","(0.4107142857142857,)",1,"(127912421854544, 127912421854832)",gui
"vote ( NB ( var_smoothing = 1e-7 ) , NB ( var_smoothing = 1e-8 ) , RF ( max_depth = 50 ) , XGB ( n_estimators = 200 ) , KNN ( n_neighbors = 200 ) ; n_estimators = 100 )",2026-02-16T14:22:29,"(127912421856560, 127912421855504)","(0.3571428571428571,)",0,"(127912421854544, 127912421854832)",gui
"stack ( KNN ( n_neighbors = 10 ) , XGB ( n_estimators = 100 , max_depth = 200 ) , DT ( max_depth = 2 ) , LR ( penalty = l2 ) , NB ( var_smoothing = 1e-8 ) )",2026-02-16T14:22:30,"(127912421856560, 127912421855504)","(0.3973214285714286,)",0,"(127912421854544, 127912421854832)",gui
bag ( RF ( n_estimators = 100 ) ),2026-02-16T14:22:31,"(127912421856560, 127912421855504)","(0.4196428571428571,)",7,"(127912421854544, 127912421854832)",gui
bag ( NB ( var_smoothing = 1e-8 ) ),2026-02-16T14:22:31,"(127912421856560, 127912421855504)","(0.3660714285714286,)",129,"(127912421854544, 127912421854832)",gui
ada ( GB ( learning_rate = 0.1 ) ),2026-02-16T14:22:38,"(127912421856560, 127912421855504)","(0.4553571428571429,)",1,"(127912421854544, 127912421854832)",gui
"stack ( LR ( C = 0.5 , max_iter = 1 ) )",2026-02-16T14:22:38,"(127912421856560, 127912421855504)","(0.3973214285714286,)",0,"(127912421854544, 127912421854832)",gui
bag ( NB ( var_smoothing = 1e-7 ) ),2026-02-16T14:22:38,"(127912421856560, 127912421855504)","(0.3660714285714286,)",82,"(127912421854544, 127912421854832)",gui
"stack ( GB ( n_estimators = 10 , learning_rate = 100 ) , GB ( learning_rate = 1.0 ) , DT ( max_depth = 2 ) , LR ( penalty = l2 ) , NB ( var_smoothing = 1e-8 ) ; voting = soft )",2026-02-16T14:22:38,"(127912421856560, 127912421855504)","(0.4017857142857143,)",0,"(127912421854544, 127912421854832)",gui
"bag ( GB ( n_estimators = 2 , learning_rate = 0.5 ) )",2026-02-16T14:22:38,"(127912421856560, 127912421855504)","(0.3526785714285714,)",4,"(127912421854544, 127912421854832)",gui
"ada ( GB ( n_estimators = 2 , learning_rate = 10 ) ; final_estimator = GB )",2026-02-16T14:22:39,"(127912421856560, 127912421855504)","(0.5,)",0,"(127912421854544, 127912421854832)",gui
ada ( NB ( var_smoothing = 1e-6 ) ; n_estimators = 3 ),2026-02-16T14:22:39,"(127912421856560, 127912421855504)","(0.3705357142857143,)",3,"(127912421854544, 127912421854832)",gui
ada ( GB ( learning_rate = 100 ) ),2026-02-16T14:22:45,"(127912421856560, 127912421855504)","(0.59375,)",2,"(127912421854544, 127912421854832)",gui
"stack ( RF ( n_estimators = 50 , max_depth = 1 ) )",2026-02-16T14:22:45,"(127912421856560, 127912421855504)","(0.3392857142857143,)",3,"(127912421854544, 127912421854832)",gui
ada ( GB ( n_estimators = 10 ) ; n_estimators = 200 ),2026-02-16T14:22:48,"(127912421856560, 127912421855504)","(0.4196428571428571,)",0,"(127912421854544, 127912421854832)",gui
bag ( RF ( n_estimators = 1 ) ),2026-02-16T14:22:48,"(127912421856560, 127912421855504)","(0.375,)",14,"(127912421854544, 127912421854832)",gui
"vote ( KNN ( n_neighbors = 100 ) , SVM ( kernel = linear ) , KNN ( n_neighbors = 100 ) , SVM ( kernel = sigmoid ) , NB ( var_smoothing = 1e-8 ) )",2026-02-16T14:22:48,"(127912421856560, 127912421855504)","(0.4107142857142857,)",0,"(127912421854544, 127912421854832)",gui
ada ( RF ( max_depth = 50 ) ),2026-02-16T14:22:48,"(127912421856560, 127912421855504)","(0.3705357142857143,)",3,"(127912421854544, 127912421854832)",gui
"stack ( LR ( C = 0.1 ) , DT ( max_depth = 10 , min_samples_leaf = 100 ) , DT ( max_depth = 3 ) , KNN ( n_neighbors = 50 ) )",2026-02-16T14:22:48,"(127912421856560, 127912421855504)","(0.3839285714285714,)",0,"(127912421854544, 127912421854832)",gui
ada ( LR ( C = 10 ) ; final_estimator = KNN ),2026-02-16T14:22:48,"(127912421856560, 127912421855504)","(0.4196428571428571,)",0,"(127912421854544, 127912421854832)",gui
bag ( DT ( criterion = log_loss ) ),2026-02-16T14:22:48,"(127912421856560, 127912421855504)","(0.4196428571428571,)",30,"(127912421854544, 127912421854832)",gui
bag ( XGB ( n_estimators = 2 ) ),2026-02-16T14:22:48,"(127912421856560, 127912421855504)","(0.3928571428571429,)",32,"(127912421854544, 127912421854832)",gui
"bag ( RF ( n_estimators = 3 , max_depth = 50 ) ; final_estimator = SVM )",2026-02-16T14:22:48,"(127912421856560, 127912421855504)","(0.3883928571428571,)",0,"(127912421854544, 127912421854832)",gui
vote ( KNN ( n_neighbors = 10 ) ; n_estimators = 1 ),2026-02-16T14:22:48,"(127912421856560, 127912421855504)","(0.3839285714285714,)",0,"(127912421854544, 127912421854832)",gui
ada ( NB ( var_smoothing = 1e-7 ) ; n_estimators = 1 ),2026-02-16T14:22:48,"(127912421856560, 127912421855504)","(0.3705357142857143,)",0,"(127912421854544, 127912421854832)",gui
"stack ( GB ( n_estimators = 10 , learning_rate = 100 ) , GB ( learning_rate = 1.0 ) , DT ( max_depth = 2 ) , LR ( penalty = l2 ) , GB ( n_estimators = 10 , learning_rate = 200 ) ; n_estimators = 100 )",2026-02-16T14:22:49,"(127912421856560, 127912421855504)","(0.4017857142857143,)",0,"(127912421854544, 127912421854832)",gui
vote ( KNN ( n_neighbors = 50 ) ),2026-02-16T14:22:49,"(127912421856560, 127912421855504)","(0.4241071428571429,)",1,"(127912421854544, 127912421854832)",gui
